State,City,ICAO Location Identifier,Lat,Long
NE,North Platte,KLNX,41.9579623,-100.5759609
NE,Omaha,KOAX,41.3202803,-96.3667971
SD,Aberdeen,KABR,45.4558185,-98.4132046
SD,Rapid City,KUDX,44.1248485,-102.8298157
SD,Sioux Falls,KFSD,43.5877467,-96.7293674
ND,Bismarck,KBIS,46.7709329,-100.7605532
ND,Grand Forks (Mayville),KMVX,47.5279417,-97.3256654
ND,Minot AFB,KMBX,48.39303,-100.8644378
MT,Billings,KBLX,45.8537632,-108.6068165
MT,Glasgow,KGGW,48.2064536,-106.6252971
MT,Great Falls,KTFX,47.4595023,-111.3855368
MT,Missoula,KMSX,47.0412971,-113.9864373
WY,Cheyenne,KCYS,41.1519308,-104.8060325
WY,Riverton,KRIW,43.0660779,-108.4773731
CO,Denver,KFTG,39.7866156,-104.5458126
CO,Grand Junction,KGJX,39.0619824,-108.2137012
CO,Pueblo,KPUX,38.4595034,-104.1816223
NM,Albuquerque,KABX,35.1497579,-106.8239576
NM,Cannon AFB,KFDX,34.6341569,-103.6186427
NM,Holloman AFB,KHDX,33.0768844,-106.1200923
AZ,Flagstaff,KFSX,34.574449,-111.198367
AZ,Phoenix,KIWA,33.289111,-111.6700092
AZ,Tucson,KEMX,31.8937186,-110.6304306
AZ,Yuma,KYUX,32.4953477,-114.6567214
UT,Cedar City,KICX,37.59083,-112.86222
UT,Salt Lake City,KMTX,41.2627795,-112.4480081
ID,Boise,KCBX,43.4902104,-116.2360436
ID,Pocatello/Idaho Falls,KSFX,43.1055967,-112.6860487
NV,Elko,KLRX,40.7396933,-116.8025529
NV,Las Vegas,KESX,35.7012894,-114.8918277
NV,Reno,KRGX,39.7541931,-119.4620597
CA,Beale AFB,KBBX,39.4956958,-121.6316557
CA,Edwards AFB,KEYX,35.0979358,-117.5608832
CA,Eureka,KBHX,40.4986955,-124.2918867
CA,Los Angeles,KVTX,34.4116386,-119.1795641
CA,Sacramento,KDAX,38.5011529,-121.6778487
CA,San Diego,KNKX,32.9189891,-117.041814
CA,San Francisco,KMUX,37.155152,-121.8984577
CA,San Joaquin Valley,KHNX,36.3142088,-119.6320903
CA,Santa Ana Mountains,KSOX,33.8176452,-117.6359743
CA,Vandenberg AFB,KVBG,34.8383137,-120.3977805
HI,Kauai,PHKI,21.8938762,-159.5524585
HI,Kohala,PHKM,20.1254606,-155.778054
HI,Molokai,PHMO,21.1327531,-157.1802807
HI,South Shore,PHWA,19.0950155,-155.5688846
OR,Medford,KMAX,42.0810766,-122.7173334
OR,Pendleton,KPDT,45.6906118,-118.8529301
OR,Portland,KRTX,45.7150308,-122.9650542
WA,Langley Hill,KLGX,47.116806,-124.10625
WA,Seattle/Tacoma,KATX,48.1945614,-122.4957508
WA,Spokane,KOTX,47.6803744,-117.6267797
AK,Bethel,PABC,60.791987,-161.876539
AK,Fairbanks/Pedro Dome,PAPD,65.0351238,-147.5014222
AK,Kenai,PAHG,60.725833,-151.351389
AK,King Salmon,PAKC,58.6794558,-156.6293335
AK,Middleton Island,PAIH,59.46194,-146.30111
AK,Nome,PAEC,64.5114973,-165.2949071
AK,Sitka/Biorka Island,PACG,56.85214,-135.552417
